,text
262,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
263,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
264,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
265,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
266,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
267,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
268,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
269,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
270,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
271,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
272,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
273,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
274,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
275,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
276,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
277,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we're responding https://t.co/xBllGoyl0x @Morning_Joe @NBCLOU… 
278,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we’re responding https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU… 
279,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we’re responding https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU… 
280,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we’re responding https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU… 
281,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we’re responding https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU… 
282,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we’re responding https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU… 
283,RT @Americares: 1M people in desperate need of relief aid in #Haiti. See how we’re responding https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU… 
284,RT @Americares: A Trek to the Heart of #Haiti’s #Cholera Epidemic: https://t.co/YK4zGkyjOK (via @nytimes) #HurricaneMatthew https://t.co/xq… 
285,RT @Americares: A Trek to the Heart of #Haiti’s #Cholera Epidemic: https://t.co/YK4zGkyjOK (via @nytimes) #HurricaneMatthew https://t.co/xq… 
286,RT @Americares: A Trek to the Heart of #Haiti’s #Cholera Epidemic: https://t.co/YK4zGkyjOK (via @nytimes) #HurricaneMatthew https://t.co/xq… 
287,RT @Americares: A Trek to the Heart of #Haiti’s #Cholera Epidemic: https://t.co/YK4zGkyjOK (via @nytimes) #HurricaneMatthew https://t.co/xq… 
288,RT @Americares: Watch as we bring lifesaving aid for #HurricaneMatthew survivors &amp; #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Mo… 
289,RT @Americares: Watch as we bring lifesaving aid for #HurricaneMatthew survivors &amp; #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Mo… 
290,RT @Americares: Watch as we bring lifesaving aid for #HurricaneMatthew survivors &amp; #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Mo… 
291,RT @Americares: Watch as we bring lifesaving aid for #HurricaneMatthew survivors &amp; #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Mo… 
292,RT @Americares: Watch as we bring lifesaving aid for #HurricaneMatthew survivors &amp; #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Mo… 
293,RT @Americares: Watch as we bring lifesaving aid for #HurricaneMatthew survivors &amp; #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Mo… 
294,RT @Americares: Watch as we deliver lifesaving aid for #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU #Hurricane… 
295,RT @Americares: Watch as we deliver lifesaving aid for #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU #Hurricane… 
296,RT @Americares: Watch as we deliver lifesaving aid for #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU #Hurricane… 
297,RT @Americares: Watch as we deliver lifesaving aid for #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU #Hurricane… 
298,RT @Americares: Watch as we deliver lifesaving aid for #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU #Hurricane… 
299,RT @Americares: Watch as we deliver lifesaving aid for #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU #Hurricane… 
300,RT @Americares: Watch as we deliver lifesaving aid for #cholera patients in #Haiti: https://t.co/xBllGogK8Z @Morning_Joe @NBCLOU #Hurricane… 
301,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
302,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
303,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
304,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
305,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
306,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
307,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
308,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
309,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
310,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
311,RT @Americares: Watch video of Dr. Dave Campbell &amp; @NBCLOU embedding w/ our relief workers responding to #HurricaneMatthew in #Haiti https:… 
312,RT @AmericaresCEO: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/Rk1FmpZuec @Morning_J… 
313,RT @AmericaresCEO: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/Rk1FmpZuec @Morning_J… 
314,RT @AmericaresCEO: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/Rk1FmpZuec @Morning_J… 
315,RT @AmericaresCEO: #Cholera outbreak rips through #Haiti. Watch our medical teams provide lifesaving aid https://t.co/Rk1FmpZuec @Morning_J… 
316,RT @AmericaresNews: Via @Morning_Joe today @msnbc crew embedded with our emergency team in #Haiti responding to #HurricaneMatthew https://t… 
317,RT @AmericaresNews: Via @Morning_Joe today @msnbc crew embedded with our emergency team in #Haiti responding to #HurricaneMatthew https://t… 
318,RT @AmericaresNews: Via @Morning_Joe today @msnbc crew embedded with our emergency team in #Haiti responding to #HurricaneMatthew https://t… 
319,RT @AmericaresNews: Via @Morning_Joe today @msnbc crew embedded with our emergency team in #Haiti responding to #HurricaneMatthew https://t… 
320,RT @AmericaresNews: Via @Morning_Joe today @msnbc crew embedded with our emergency team in #Haiti responding to #HurricaneMatthew https://t… 
321,RT @AmericaresNews: Via @Morning_Joe today @msnbc crew embedded with our emergency team in #Haiti responding to #HurricaneMatthew https://t… 
322,"RT @BenParker140: The C-word: @UN can't say ""compensation"" for cholera in #Haiti "
323,"RT @BenParker140: The C-word: @UN can't say ""compensation"" for cholera in #Haiti "
324,"RT @BenParker140: The C-word: @UN can't say ""compensation"" for cholera in #Haiti "
325,RT @BlackOklahoman: Cholera outbreak rips through Haiti https://t.co/NAOAtRw2QO 
326,RT @BuddhistLawyer: @Doylebytes We have a few thousand troops in #Haiti that we'd be happy to send over. I suggest screening them for #chol… 
327,RT @CARIBANA1967: Hurricane Matthew: Fears of Haiti cholera outbreak in #pray4haiti #caribana #haitiupdate https://t.co/0UDw9t2nYU https://… 
328,"RT @CDCgov: CDC’s 2010 response after a 7.0 magnitude earthquake in Haiti helped prevent 7,000 deaths from cholera. #CDC70 #TBT https://t.c… "
329,"RT @Crystal1Johnson: The United Nations, which made cholera endemic to Haiti, now has a plan to pay Haitians money. Still won't admit guilt… "
330,RT @DadyChery: #Cholera: The @UN is taking advantage of the Current Situation in #Haiti | @DadyChery on @radiosputnik  https://t.co/XfXzq7N… 
331,RT @DadyChery: #Cholera: The @UN is taking advantage of the Current Situation in #Haiti | @DadyChery on @radiosputnik  https://t.co/XfXzq7N… 
332,RT @DadyChery: #Cholera: The @UN is taking advantage of the Current Situation in #Haiti | @DadyChery on @radiosputnik  https://t.co/XfXzq7N… 
333,RT @DadyChery: #Cholera: The @UN is taking advantage of the Current Situation in #Haiti | @DadyChery on @radiosputnik  https://t.co/XfXzq7N… 
334,RT @Dr_Mike_Stevens: #Cholera flare in Haiti following Hurricane Mathew; mass vaccination campaign w/ single dose vaccine: https://t.co/cEC… 
335,RT @Dr_Mike_Stevens: #Cholera flare in Haiti following Hurricane Mathew; mass vaccination campaign w/ single dose vaccine: https://t.co/cEC… 
336,"RT @dypatilhospital: PAHO WHO | Haiti’s Ministry of Health successfully vaccinates  729, 000 persons against cholera https://t.co/3OutzNAFl… "
337,"RT @dypatilhospital: PAHO WHO | Haiti’s Ministry of Health successfully vaccinates  729, 000 persons against cholera https://t.co/3OutzNAFl… "
338,RT @ERDO_CANADA: Haiti recently launched the largest emergency cholera vaccination campaign ever attempted. The plan is to try to vaccinate… 
339,RT @FluTrackers: #Ghana - Over 200 incidents of #cholera have now been recorded in the Central Region https://t.co/Qpjk8auyFb h/t Shiloh 
340,RT @FluTrackers: South #Sudan - 3 dead in suspected #cholera outbreak in Leer https://t.co/nPZSusavVm h/t Shiloh 
341,"RT @freddy_link: FreddyLink Water, Sanitation and Hygiene fundraiser launched today to combat cholera in Haiti. Donate at https://t.co/QBQM… "
342,RT @fxp123: Cholera outbreak rips through Haiti - MSNBC https://t.co/3W1cEdyuHi 
343,RT @fxp123: Cholera outbreak rips through Haiti - MSNBC https://t.co/3W1cEdyuHi 
344,"RT @gavi: #Haiti’s Ministry of Health &amp; #globalhealth partners have vaccinated 729,000 people against #cholera: https://t.co/4fgTfwQAmh #va… "
345,"RT @gavi: #Haiti’s Ministry of Health &amp; #globalhealth partners have vaccinated 729,000 people against #cholera: https://t.co/4fgTfwQAmh #va… "
346,RT @gavi: In photos: combatting #cholera in #Haiti https://t.co/NEiZdh1EI8 @pahowho #vaccineswork #globalhealth https://t.co/SAQkDLq8mF 
347,RT @gavi: In photos: combatting #cholera in #Haiti https://t.co/NEiZdh1EI8 @pahowho #vaccineswork #globalhealth https://t.co/SAQkDLq8mF 
348,"RT @GaviSeth: #Haiti's #cholera vaccine campaign is set to get underway soon, using 1 million doses from the @Gavi supported stockpile #vac… "
349,RT @GaviSeth: Views from the #cholera vaccination campaign now underway in #Haiti. #vaccineswork #globalhealth https://t.co/r1593jFs0l 
350,RT @globalissuesweb: UN's own expert calls its actions over Haiti cholera outbreak 'a disgrace' https://t.co/nNBDTwug0P https://t.co/poYly4… 
351,RT @GMA: Cholera concerns growing in Haiti following widespread flooding unleashed by Hurricane Matthew: https://t.co/FAMfM14w6y https://t.… 
352,RT @HaitiJustice: U.N. Watch: Haiti's cholera stain https://t.co/btlGQ5tzGU via @TribLIVE 
353,RT @HBeaucejour: The @UN owed #Haiti billion $$ after killing 10000 people with #cholera .. crime against humanity https://t.co/8RkFr4zQkb 
354,RT @healingforhait1: Rewind: Haiti in a Time of Cholera @AJEnglish  https://t.co/I0ez1NQpkp 
355,RT @hillemanlab: Hurricane Matthew hit #Haiti trying to develop effective roadmap for the emergency vaccination programme https://t.co/SitH… 
356,RT @hillemanlab: Read our new blog post - '#Cholera #vaccines : Need of the Hour in #Haiti ' https://t.co/YNCTmYLk3t @BabysBestShot @ShotAt… 
357,RT @hillemanlab: There is an urgent need of highly effective &amp; affordable #cholera #vaccines both for outbreaks https://t.co/jaMZ6M3T6t @co… 
358,RT @hillemanlab: There is an urgent need of highly effective &amp; affordable #cholera #vaccines both for outbreaks https://t.co/jaMZ6M3T6t @co… 
359,RT @HopeForHaiti: Medical Update from #Haiti: We have only had one case of cholera at our clinic - a young woman who improved and was able… 
360,RT @ijdh: Ban's failings in Haiti are 1 of the worst stains on his legacy. Clock's running down on his chance to make it right https://t.co… 
361,"RT @ijdh: Is it ""too much to hope that [Sec-Gen Ban Ki-moon] would take the bold step of formally apologising"" for #cholera? https://t.co/v… "
362,RT @ijdh: Tell the UN to live up to its mission &amp; be the force for justice that we all want it to be. @N_Map https://t.co/mXqHZ4DuZg 
363,"RT @ijdh: The UN's refusal to accept responsibility for causing a cholera epidemic is a ""blot on the UN"" - https://t.co/OwiBIHEaqW "
364,"RT @ijdh: The UN's refusal to accept responsibility for causing a cholera epidemic is a ""blot on the UN"" - https://t.co/OwiBIHEaqW "
365,"RT @ijdh: The UN's refusal to accept responsibility for causing a cholera epidemic is a ""blot on the UN"" - https://t.co/OwiBIHEaqW "
366,"RT @ijdh: The UN's refusal to accept responsibility for causing a cholera epidemic is a ""blot on the UN"" - https://t.co/OwiBIHEaqW "
367,"RT @ijdh: The UN's refusal to accept responsibility for causing a cholera epidemic is a ""blot on the UN"" - https://t.co/OwiBIHEaqW "
368,"RT @IMC_Worldwide: ""Cholera excludes no one"" –Nurse Christine, #Haiti. https://t.co/LFgz3VYOjW https://t.co/FcB0MhfZZc "
369,"RT @innercitypress: #BanKiMoon says “everything I do is to give hope.” Really? #Yemen, #Haiti cholera - &amp; censorship: https://t.co/bDyNnnlk… "
370,"RT @innercitypress: On #Haiti cholera ICP asks #BanKiMoon spox when Ban will belatedly present his aid plan. “Next week, briefing”- off rec… "
371,"RT @innercitypress: On #Haiti cholera ICP asks #BanKiMoon spox when Ban will belatedly present his aid plan. “Next week, briefing”- off rec… "
372,"RT @innercitypress: On #Haiti cholera ICP asks #BanKiMoon spox when Ban will belatedly present his aid plan. “Next week, briefing”- off rec… "
373,"RT @irinnews: ""Ban's failings in Haiti are one of the worst stains on his legacy, and the clock is running down"" https://t.co/kH4Kstq0Os ht… "
374,"RT @irinnews: ""Ban's failings in Haiti are one of the worst stains on his legacy, and the clock is running down"" https://t.co/kH4Kstq0Os ht… "
375,RT @irinnews: @UN officials announced a $400M package to deal with cholera it imported to Haiti. But who will fund it? https://t.co/kH4Kstq… 
376,"RT @irinnews: A month after @UN officials announced $400M package to deal with cholera in Haiti, almost no donors pledged funds https://t.c… "
377,"RT @irinnews: A month after @UN officials announced $400M package to deal with cholera in Haiti, almost no donors pledged funds https://t.c… "
378,"RT @irinnews: A month after @UN officials announced $400M package to deal with cholera in Haiti, almost no donors pledged funds https://t.c… "
379,"RT @irinnews: A month after @UN officials announced $400M package to deal with cholera in Haiti, almost no donors pledged funds https://t.c… "
380,"RT @irinnews: A month after @UN officials announced $400M package to deal with cholera in Haiti, almost no donors pledged funds https://t.c… "
381,"RT @irinnews: A month after @UN officials announced $400M package to deal with cholera in Haiti, almost no donors pledged funds https://t.c… "
382,"RT @irinnews: A month after @UN officials announced $400M package to deal with cholera in Haiti, almost no donors pledged funds https://t.c… "
383,RT @irinnews: Can Ban Ki-moon leave his sec gen post without issuing a public apology for UN-imported cholera in Haiti? https://t.co/kH4Kst… 
384,RT @irinnews: Can Ban Ki-moon leave his sec gen post without issuing a public apology for UN-imported cholera in Haiti? https://t.co/kH4Kst… 
385,"RT @irinnews: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? https://t.co/8m8nbWqJQl https://t.c… "
386,"RT @irinnews: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? https://t.co/8m8nbWqJQl https://t.c… "
387,"RT @irinnews: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? https://t.co/8m8nbWqJQl https://t.c… "
388,"RT @irinnews: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? https://t.co/8m8nbWqJQl https://t.c… "
389,"RT @irinnews: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? https://t.co/8m8nbWqJQl https://t.c… "
390,"RT @irinnews: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? https://t.co/8m8nbWqJQl https://t.c… "
391,"RT @irinnews: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? https://t.co/8m8nbWqJQl https://t.c… "
392,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
393,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
394,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
395,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
396,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
397,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
398,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
399,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
400,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
401,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
402,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
403,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
404,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
405,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
406,RT @irinnews: When will Ban Ki-moon issue a public apology to the people of Haiti for UN-imported cholera? https://t.co/8m8nbW98YN https://… 
407,RT @irinnews: Who will compensate #Haiti for the UN's importation of cholera? Our report on a non-admission of guilt: https://t.co/8m8nbW98… 
408,RT @irinnews: Who will compensate #Haiti for the UN's importation of cholera? Our report on a non-admission of guilt: https://t.co/8m8nbW98… 
409,RT @irinnews: Who's willing to pay compensation to Haiti for UN-imported cholera? https://t.co/8m8nbW98YN 
410,RT @irinnews: Will @UN admit responsibility or even apologise for Haiti's 2010 cholera outbreak imported by its own peacekeepers? https://t… 
411,RT @irinnews: Will @UN admit responsibility or even apologise for Haiti's 2010 cholera outbreak imported by its own peacekeepers? https://t… 
412,RT @irinnews: Will @UN admit responsibility or even apologise for Haiti's 2010 cholera outbreak imported by its own peacekeepers? https://t… 
413,RT @irinnews: Will @UN admit responsibility or even apologise for Haiti's 2010 cholera outbreak imported by its own peacekeepers? https://t… 
414,RT @irinnews: Will @UN admit responsibility or even apologise for Haiti's 2010 cholera outbreak imported by its own peacekeepers? https://t… 
415,RT @jedselk: Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/… 
416,RT @jedselk: Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/… 
417,RT @jedselk: Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/… 
418,RT @jedselk: Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/… 
419,RT @jedselk: Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/… 
420,RT @jedselk: Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/… 
421,RT @jedselk: Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/… 
422,RT @jedselk: Incredible piece on @Morning_Joe produced by @NBCLOU bringing attention to #Haiti and #HurricaneMatthew victims. https://t.co/… 
423,RT @jeffersonmok: Honored to interview @IMC_Worldwide's Christine Casimir who treated cholera after #HurricaneMatthew in #Haiti: https://t.… 
424,RT @jeffersonmok: Honored to interview @IMC_Worldwide's Christine Casimir who treated cholera after #HurricaneMatthew in #Haiti: https://t.… 
425,RT @jeffersonmok: Honored to interview @IMC_Worldwide's Christine Casimir who treated cholera after #HurricaneMatthew in #Haiti: https://t.… 
426,RT @jeffersonmok: Honored to interview @IMC_Worldwide's Christine Casimir who treated cholera after #HurricaneMatthew in #Haiti: https://t.… 
427,RT @jeffersonmok: Honored to interview @IMC_Worldwide's Christine Casimir who treated cholera after #HurricaneMatthew in #Haiti: https://t.… 
428,RT @JHUNursing: #Haiti Launches Largest Ever #Cholera Vaccination Campaign - https://t.co/ievyisxKTS https://t.co/DmDcGPbtXg 
429,RT @JHUNursing: #Haiti Launches Largest Ever #Cholera Vaccination Campaign - https://t.co/ievyisxKTS https://t.co/DmDcGPbtXg 
430,RT @JHUNursing: #Haiti Launches Largest Ever #Cholera Vaccination Campaign - https://t.co/ievyisxKTS https://t.co/DmDcGPbtXg 
431,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
432,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
433,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
434,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
435,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
436,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
437,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
438,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
439,"RT @JohnsHopkinsSPH: ""So far the Haiti [cholera] outbreak has sickened roughly 800,000 people and killed more than 9,000."" https://t.co/MPR… "
440,RT @JohnsHopkinsSPH: Haiti Launches Largest-Ever Cholera Vaccination Campaign https://t.co/cfriUIQwwt 
441,RT @JohnsHopkinsSPH: Haiti Launches Largest-Ever Cholera Vaccination Campaign https://t.co/cfriUIQwwt 
442,RT @JohnsHopkinsSPH: Haiti Launches Largest-Ever Cholera Vaccination Campaign https://t.co/cfriUIQwwt 
443,"RT @McGully2: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? @samueloakford @irinnews https://t.… "
444,"RT @McGully2: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? @samueloakford @irinnews https://t.… "
445,"RT @McGully2: If Ban Ki-moon's $400m Haiti cholera plan flops, how badly does it tarnish his UN legacy? @samueloakford @irinnews https://t.… "
446,"RT @McKinseySociety: After Hurricane Matthew hit Haiti, ""the number of new cases of #cholera went from roughly 75 a day to well over 200"" h… "
447,RT @MerceronViking: #debatenight #HurricaneMathew #haitirelief #cholera #HaitiElections 
448,"RT @Mercypolitics: #Haiti’s #Cholera Spreading, Money Grubbing, United Nations Plague https://t.co/ukAmFVoAaZ by @DadyChery #UN &amp; #NGOs out… "
449,"RT @Mercypolitics: Haiti’s Cholera Spreading, Money Grubbing, United Nations Plague https://t.co/ukAmFVoAaZ via @newsjunkiepost "
450,"RT @Mercypolitics: Haiti’s Cholera Spreading, Money Grubbing, United Nations Plague https://t.co/ukAmFVoAaZ via @newsjunkiepost "
451,"RT @Mercypolitics: Haiti’s Cholera Spreading, Money Grubbing, United Nations Plague https://t.co/ukAmFVoAaZ via @newsjunkiepost "
452,"RT @MicrobesInfect: PepsiCo Donates Gatorade For #Cholera Victims In Haiti, Provides US$750,000 To US regions hit by #HurricaneMatthew http… "
453,"RT @MicrobesInfect: PepsiCo Donates Gatorade For #Cholera Victims In Haiti, Provides US$750,000 To US regions hit by #HurricaneMatthew http… "
454,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
455,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
456,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
457,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
458,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
459,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
460,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
461,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
462,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
463,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
464,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
465,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
466,RT @Morning_Joe: Cholera outbreak rips through Haiti https://t.co/kJdFH9Kb46 https://t.co/bj6doQ0fVi 
